"","Food forest/variable","method","Food forest/Forest","Food forest/Grassland","Food forest/Arable_field"
"1","activity-density","boot","0.68 [0.13, 1.22]","4.03 [-2.44, 10.5]","1.77 [-28352767078391.8, 28352767078395.4]"
"2","activity-density","Wald","0.68 [0.28, 1.63]","4.03 [1.3, 12.5]","1.77 [0.47, 6.62]"
"3","0D","boot","0.56 [0.26, 0.87]","2.38 [-52140372.73, 52140377.49]","2.22 [-18198698098.39, 18198698102.83]"
"4","0D","Wald","0.56 [0.31, 1.04]","2.38 [0.95, 5.97]","2.22 [0.69, 7.2]"
"5","1D","boot","0.62 [0.26, 0.99]","2.45 [-465690083.73, 465690088.63]","1.87 [-504343209.78, 504343213.53]"
"6","1D","Wald","0.62 [0.32, 1.2]","2.45 [0.93, 6.45]","1.87 [0.6, 5.88]"
